,id,cwe,cve,ecosystem,package,buggy_version,fixed_version,package_url,advisory_file,repository_url,fixed,buggy,cbuggy,commits
0,GHSA-hpcf-8vf9-q4gj,CWE-79,CVE-2016-7103,Maven,org.webjars.npm:jquery-ui,0,1.12.0,https://github.com/jquery/jquery-ui,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2017/10/GHSA-hpcf-8vf9-q4gj/GHSA-hpcf-8vf9-q4gj.json,https://github.com/jquery/jquery-ui,1.12.0,1.10.5,,https://github.com/jquery-ui-rails/jquery-ui-rails/commit/d504a40538fe5f7998439ad2f8fc5c4a1f843f1c;https://github.com/jquery/jquery-ui/commit/9644e7bae9116edaf8d37c5b38cb32b892f10ff6
1,GHSA-qqxp-xp9v-vvx6,CWE-79,CVE-2012-6662,Maven,org.webjars.npm:jquery-ui,0,1.10.0,https://github.com/jquery/jquery-ui,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2017/10/GHSA-qqxp-xp9v-vvx6/GHSA-qqxp-xp9v-vvx6.json,https://github.com/jquery/jquery-ui,NA,NA,,https://github.com/jquery/jquery-ui/commit/5fee6fd5000072ff32f2d65b6451f39af9e0e39e;https://github.com/jquery/jquery-ui/commit/f2854408cce7e4b7fc6bf8676761904af9c96bde
2,GHSA-wcm2-9c89-wmfm,CWE-79,CVE-2010-5312,Maven,org.webjars.npm:jquery-ui,1.7.0,1.10.0,https://github.com/jquery/jquery-ui,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2017/10/GHSA-wcm2-9c89-wmfm/GHSA-wcm2-9c89-wmfm.json,https://github.com/jquery/jquery-ui,NA,NA,,https://github.com/jquery/jquery-ui/commit/7e9060c109b928769a664dbcc2c17bd21231b6f3
3,GHSA-mhpp-875w-9cpv,CWE-400;CWE-674,CVE-2016-10707,Maven,org.webjars.npm:jquery,3.0.0-rc.1,3.0.0,https://github.com/jquery/jquery,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2018/01/GHSA-mhpp-875w-9cpv/GHSA-mhpp-875w-9cpv.json,https://github.com/jquery/jquery,3.0.0,2.2.4,,
4,GHSA-rmxg-73gg-4p98,CWE-79,CVE-2015-9251,Maven,org.webjars.npm:jquery,0,1.12.2,https://github.com/jquery/jquery,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2018/01/GHSA-rmxg-73gg-4p98/GHSA-rmxg-73gg-4p98.json,https://github.com/jquery/jquery,1.12.2,1.12.1,,https://github.com/jquery/jquery/pull/2588/commits/c254d308a7d3f1eac4d0b42837804cfffcba4bb2;https://github.com/jquery/jquery/commit/b078a62013782c7424a4a61a240c23c4c0b42614;https://github.com/jquery/jquery/commit/f60729f3903d17917dc351f3ac87794de379b0cc
5,GHSA-g8q2-24jh-5hpc,,,Maven,org.webjars.npm:jquery-ui,0,1.12.0,NA,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2018/07/GHSA-g8q2-24jh-5hpc/GHSA-g8q2-24jh-5hpc.json,https://github.com/jquery/jquery-ui,1.12.0,1.10.5,,
6,GHSA-269m-695x-j34p,,CVE-2017-15702,Maven,org.apache.qpid:qpid-broker,0.18,6.0.0,https://github.com/apache/qpid-broker-j,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2018/10/GHSA-269m-695x-j34p/GHSA-269m-695x-j34p.json,https://gitbox.apache.org/repos/asf/qpid-broker-j,6.0.0,0.32,,
7,GHSA-26v6-w6fw-rh94,,CVE-2015-5348,Maven,org.apache.camel:camel-jetty,0,2.15.5,https://github.com/apache/camel,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2018/10/GHSA-26v6-w6fw-rh94/GHSA-26v6-w6fw-rh94.json,https://github.com/apache/maven-apache-parent,2.15.5,2.15.4,,https://github.com/apache/camel/commit/f7f0b18f6924fe0b01f32a25ed1e38e29b1bf8e5;https://github.com/apache/camel/commit/e7fd5f049c2fd51a528f8062da91a1c75e33b0e8;https://github.com/apache/camel/commit/d853853469292cd54fd9662c3605030ab5a9566b;https://github.com/apache/camel/commit/c558f30a6d3820faa3d8c4ad5e54448914ec60d0;https://github.com/apache/camel/commit/c47cffcadabca0c588753555a386942184a33627;https://github.com/apache/camel/commit/a68434c258cdcd30587ae7adc5dabbac43eadbbf;https://github.com/apache/camel/commit/9cbd5867fe73ef07ecba6f16d64689632e3f2a16;https://github.com/apache/camel/commit/94330f99acb6f28155793b253de9956c3798f3bb;https://github.com/apache/camel/commit/92081b203523c5ed502ed41df43cbd8655caf9b9;https://github.com/apache/camel/commit/7e28d0af471ea992eb74807a4abd1626b88d678a;https://github.com/apache/camel/commit/735ee02c693964b5f700af13a2adfeae56b848a4;https://github.com/apache/camel/commit/5ea0a6f6c6a54f1cddf9691a99b0c237afc95348;https://github.com/apache/camel/commit/515c822148d52de9e7cdf4f6b01f7b793f2f273f;https://github.com/apache/camel/commit/4f065fe07c1dcd7b451e6005a6dc8e96d77da43e;https://github.com/apache/camel/commit/44e6a3036e5a11d90b60c142cf51ed74b792de31;https://github.com/apache/camel/commit/349109b0834764560f0be69eb74f43a16bd220b0;https://github.com/apache/camel/commit/32eacdaff16f8709da55e27b83fa21a16d739f63;https://github.com/apache/camel/commit/1b1ccbcd94860f6f1d8caf98fb59e6ab7b3940b4;https://github.com/apache/camel/commit/190d7c81b7e3ce767514e319630b1bbaf27e6817;https://github.com/apache/camel/commit/13e43c1412ad72d99030b4eb4cb72c84fa57d5ff;https://github.com/apache/camel/commit/0afcf721ff209eb10a24c5e4b48ca9d6727ea99a
8,GHSA-2fw5-rvf2-jq56,,CVE-2014-0002,Maven,org.apache.camel:camel-core,0,2.11.4,https://github.com/apache/camel,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2018/10/GHSA-2fw5-rvf2-jq56/GHSA-2fw5-rvf2-jq56.json,https://github.com/apache/maven-apache-parent,2.11.4,2.11.3,,https://github.com/apache/camel/commit/2ec54fa0c13ae65bdcccff764af081a79fcc05f;https://github.com/apache/camel/commit/341d4e6cca71c53c90962d1c3d45fc9e05cc50c6;https://github.com/apache/camel/commit/54b65c1d30848835f26bd138c0ba407bc1e560d
9,GHSA-2j2x-hx4g-2gf4,CWE-1310,CVE-2016-1000344,Maven,org.bouncycastle:bcprov-jdk14,0,1.56,https://github.com/bcgit/bc-java/,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2018/10/GHSA-2j2x-hx4g-2gf4/GHSA-2j2x-hx4g-2gf4.json,https://github.com/bcgit/bc-java,1.56,1.55,,https://github.com/bcgit/bc-java/commit/9385b0ebd277724b167fe1d1456e3c112112be1f
10,GHSA-2m8h-fgr8-2q9w,CWE-22,CVE-2016-9878,Maven,org.springframework:spring-webmvc,0,3.2.18,https://github.com/spring-projects/spring-framework,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2018/10/GHSA-2m8h-fgr8-2q9w/GHSA-2m8h-fgr8-2q9w.json,https://github.com/spring-projects/spring-framework,3.2.18.RELEASE,3.2.17.RELEASE,,https://github.com/spring-projects/spring-framework/commit/43bf008fbcd0d7945e2fcd5e30039bc4d74c7a98;https://github.com/spring-projects/spring-framework/commit/a7dc48534ea501525f11369d369178a60c2f47d0;https://github.com/spring-projects/spring-framework/commit/e2d6e709c3c65a4951eb096843ee75d5200cfcad
11,GHSA-2mp8-qvqm-3xwq,CWE-611,CVE-2017-14868,Maven,org.restlet.jse:org.restlet.ext.jaxrs,0,2.3.11,https://github.com/restlet/restlet-framework-java,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2018/10/GHSA-2mp8-qvqm-3xwq/GHSA-2mp8-qvqm-3xwq.json,,NA,NA,,
12,GHSA-2x83-r56g-cv47,CWE-20,CVE-2012-6153,Maven,org.apache.httpcomponents:httpclient,0,4.2.3,https://github.com/apache/httpcomponents-client/,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2018/10/GHSA-2x83-r56g-cv47/GHSA-2x83-r56g-cv47.json,https://github.com/apache/httpcomponents-client,4.2.3,4.2.2,,https://github.com/apache/httpcomponents-client/commit/6e14fc146a66e0f3eb362f45f95d1a58ee18886a;https://github.com/apache/httpcomponents-client/commit/b930227f907af1198765fc47beabbddae344ca7b
13,GHSA-3357-829x-m9pr,CWE-20,CVE-2015-5175,Maven,org.apache.cxf.fediz:fediz-idp,0,1.1.3,https://github.com/apache/cxf-fediz/,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2018/10/GHSA-3357-829x-m9pr/GHSA-3357-829x-m9pr.json,https://github.com/apache/maven-apache-parent,1.1.3,1.1.2,,https://github.com/apache/cxf-fediz/commit/f65c961ea31e3c1851daba8e7e49fc37bbf77b19
14,GHSA-387v-84cv-9qmc,CWE-22,CVE-2017-3163,Maven,org.apache.solr:solr-core,0,5.5.4,NA,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2018/10/GHSA-387v-84cv-9qmc/GHSA-387v-84cv-9qmc.json,https://gitbox.apache.org/repos/asf/solr,5.5.4,5.5.3,,
15,GHSA-38cr-2ph5-frr9,CWE-91,CVE-2018-1327,Maven,org.apache.struts:struts2-rest-plugin,2.1.1,2.5.16,https://github.com/apache/struts,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2018/10/GHSA-38cr-2ph5-frr9/GHSA-38cr-2ph5-frr9.json,https://github.com/apache/struts,2.5.16,2.5.14.1,,https://github.com/apache/struts/commit/4260bee634cb606be6071bce2383fddb510608aa;https://github.com/apache/struts/commit/67ecf3a21608e20449bcb7895b22204b400fecd4;https://github.com/apache/struts/commit/9260720568cee9e868d2899228eceed0c3359323
16,GHSA-3hrc-f439-727g,CWE-611,CVE-2015-0263,Maven,org.apache.camel:camel-core,0,2.13.4,https://github.com/apache/camel,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2018/10/GHSA-3hrc-f439-727g/GHSA-3hrc-f439-727g.json,https://github.com/apache/maven-apache-parent,2.13.4,2.13.3,,https://github.com/apache/camel/commit/06db9e0744f2bb9f6e3bf16c0dfe7099a3481558;https://github.com/apache/camel/commit/367d53e73c8b5a1e73c24423e631709f9a96e08d;https://github.com/apache/camel/commit/7d19340bcdb42f7aae584d9c5003ac4f7ddaee36
17,GHSA-3pph-2595-cgfh,CWE-611,CVE-2018-1308,Maven,org.apache.solr:solr-core,1.2,6.6.3,https://github.com/apache/lucene-solr/,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2018/10/GHSA-3pph-2595-cgfh/GHSA-3pph-2595-cgfh.json,https://gitbox.apache.org/repos/asf/solr,6.6.3,6.6.2,,https://github.com/apache/lucene-solr/commit/3530397f1777332872eac2760f9aa0e2ae1d7450;https://github.com/apache/lucene-solr/commit/739a7933;https://github.com/apache/lucene-solr/commit/dd3be31f7062dcb2f3b2d7f0e89df29e197dee63
18,GHSA-3rmv-2pg5-xvqj,CWE-358;CWE-94,CVE-2018-1275,Maven,org.springframework:spring-core,0,4.3.16,https://github.com/spring-projects/spring-framework,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2018/10/GHSA-3rmv-2pg5-xvqj/GHSA-3rmv-2pg5-xvqj.json,https://github.com/spring-projects/spring-framework,4.3.16.RELEASE,4.3.15.RELEASE,,https://github.com/spring-projects/spring-framework/commit/0009806debb578e884f6dc98bd1f2dc668020021;https://github.com/spring-projects/spring-framework/commit/e0de9126ed8cf25cf141d3e66420da94e350708a
19,GHSA-3x7h-5hfr-hvjm,CWE-835,CVE-2017-2670,Maven,io.undertow:undertow-core,0,1.3.28,NA,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2018/10/GHSA-3x7h-5hfr-hvjm/GHSA-3x7h-5hfr-hvjm.json,https://github.com/undertow-io/undertow,1.3.28.Final,1.3.27.Final,,
20,GHSA-4446-656p-f54g,CWE-470;CWE-502,CVE-2018-1000613,Maven,org.bouncycastle:bcprov-jdk15on,1.57,1.60,https://github.com/bcgit/bc-java,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2018/10/GHSA-4446-656p-f54g/GHSA-4446-656p-f54g.json,https://github.com/bcgit/bc-java,1.60,1.59,,https://github.com/bcgit/bc-java/commit/4092ede58da51af9a21e4825fbad0d9a3ef5a223;https://github.com/bcgit/bc-java/commit/cc9f91c41be67e88fca4e38f4872418448950fd9;https://github.com/bcgit/bc-java/commit/cd98322b171b15b3f88c5ec871175147893c31e6
21,GHSA-4487-x383-qpph,,CVE-2018-1272,Maven,org.springframework:spring-core,0,4.3.15,https://github.com/spring-projects/spring-framework/,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2018/10/GHSA-4487-x383-qpph/GHSA-4487-x383-qpph.json,https://github.com/spring-projects/spring-framework,4.3.15.RELEASE,4.3.14.RELEASE,,https://github.com/spring-projects/spring-framework/commit/ab2410c754b67902f002bfcc0c3895bd7772d39;https://github.com/spring-projects/spring-framework/commit/e02ff3a0da50744b0980d5d665fd242eedea767
22,GHSA-45vg-2v73-vm62,,CVE-2015-0201,Maven,org.springframework:spring-core,4.1.0,4.1.5,https://github.com/spring-projects/spring-framework,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2018/10/GHSA-45vg-2v73-vm62/GHSA-45vg-2v73-vm62.json,https://github.com/spring-projects/spring-framework,4.1.5.RELEASE,4.1.4.RELEASE,,https://github.com/spring-projects/spring-framework/commit/d63cfc8eebc396be009e733a81ebb4c984811f6e;https://github.com/spring-projects/spring-framework/commit/dc5b5ca8ee09c890352f89b2dae58bc0132d6545
23,GHSA-45xm-v8gq-7jqx,CWE-119;CWE-789,CVE-2018-12541,Maven,io.vertx:vertx-core,3.0.0,3.5.4,https://github.com/eclipse-vertx/vert.x,/home/saikatd/projects/advisory-database/advisories/github-reviewed/2018/10/GHSA-45xm-v8gq-7jqx/GHSA-45xm-v8gq-7jqx.json,https://github.com/eclipse/vert.x,3.5.4,3.5.3.CR1,,https://github.com/eclipse-vertx/vert.x/commit/269a583330695d1418a4f5578f7169350b2e1332
