name,id
OS Command Injection,78
Cryptographic,327
weak hash,328
LDAP Injection,90
Path Traversal,22
Sensitive Cookie|Secure Cookie,614
SQL Injection,89
trust boundary violation,501
Insufficiently Random Values,330
XPath Injection,643
xss|cross-site scripting|cross site scripting,79
Out-of-bounds read|out of bounds read,125
Race Condition|Concurrent Execution using Shared Resource with Improper Synchronization|Improper Synchronization,362
Command Injection,77
Out-of-bounds Write|Out of bounds Write,787
use after free,416
Improper Input Validation,20
Improper Privilege Management,269
NULL Pointer Dereference,476
integer overflow,190
Code Injection,94
CSRF|cross site scripting|cross-site scripting,352
Missing Authorization,862
Server-Side Request Forgery|SSRF|Cross Site Port Attack|xspa,918
Improper Restriction of Operations within the Bounds of a Memory Buffer,119
Deserialization of Untrusted Data,502
Improper Authentication,287
Unrestricted Upload of File with Dangerous Type,434
Use of Hard-coded Credentials,798
Missing Authentication for Critical Function,306
Incorrect Authorization,863
Incorrect Default Permissions,276
